,ID,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Education_Lvl,Age,Age_Group,AgeGroup_inSymbol,Income_Group,Active_Cust,Child_Status
0,5524,Graduation,Single,58138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,2,55,Middle Age Adult,3,High,Active,Without Child
1,2174,Graduation,Single,46344,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,60,Elder,4,High,Active,With Child
2,4141,Graduation,Married,71613,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,2,48,Middle Age Adult,3,High,Active,Without Child
3,6182,Graduation,Married,26646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,2,30,Adult,2,High,Active,With Child
4,5324,PhD,Married,58293,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,3,33,Adult,2,High,Passive,With Child
5,7446,Master,Married,62513,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,3,46,Middle Age Adult,3,High,Active,With Child
6,965,Graduation,Single,55635,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,2,41,Middle Age Adult,3,High,Active,With Child
7,6177,PhD,Married,33454,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,3,28,Adult,2,High,Active,With Child
8,4855,PhD,Married,30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,3,39,Adult,2,High,Active,With Child
9,5899,PhD,Married,5648,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,3,64,Elder,4,Upper Middle,Active,With Child
10,1994,Graduation,Married,37292,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,2,30,Adult,2,High,Active,With Child
11,387,Basic,Married,7500,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,1,36,Adult,2,Upper Middle,Active,Without Child
12,2125,Graduation,Single,63033,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,2,54,Middle Age Adult,3,High,Active,Without Child
13,8180,Master,Single,59354,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,3,61,Elder,4,High,Active,With Child
14,2569,Graduation,Married,17323,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,2,25,Adult,2,High,Active,Without Child
15,2114,PhD,Single,82800,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,3,66,Elder,4,High,Active,Without Child
16,9736,Graduation,Married,41850,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,2,32,Adult,2,High,Active,With Child
17,4939,Graduation,Married,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,2,66,Elder,4,High,Active,Without Child
18,6565,Master,Married,76995,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,3,64,Elder,4,High,Passive,With Child
19,2278,Master,Single,33812,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,3,27,Adult,2,High,Active,With Child
20,9360,Graduation,Married,37040,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,2,30,Adult,2,High,Active,Without Child
21,5376,Graduation,Married,2447,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,2,34,Adult,2,Lower Middle,Active,With Child
22,1993,PhD,Married,58607,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,3,63,Elder,4,High,Active,With Child
23,4047,PhD,Married,65324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,3,60,Elder,4,High,Active,With Child
24,1409,Graduation,Married,40689,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,2,62,Elder,4,High,Active,With Child
